PLAYER_NAME,PRIMARY_TEAM,AGE,SEASON,POINTS,CORSI_PCT,TOI_PER_GAME,PPG,XG_PER_GAME
Stefan Noesen,NJD,24,20172018,27,0.500,13.29,0.375,0.166
Garnet Hathaway,CGY,25,20172018,13,0.510,11.53,0.220,0.138
Alexandre Burrows,OTT,36,20172018,14,0.480,11.69,0.197,0.112
Tomas Nosek,VGK,25,20172018,15,0.460,11.09,0.224,0.152
Phil Kessel,PIT,29,20172018,92,0.590,18.69,1.122,0.264
Matt Martin,TOR,28,20172018,12,0.490,7.99,0.240,0.074
Mark Letestu,CBJ,32,20172018,23,0.490,12.85,0.288,0.119
Kris Versteeg,CGY,31,20172018,8,0.590,13.18,0.333,0.128
Derek Stepan,UTA,27,20172018,56,0.530,19.27,0.683,0.229
Henrik Sedin,VAN,36,20172018,50,0.590,15.55,0.610,0.077
Patric Hornqvist,PIT,30,20172018,49,0.610,17.32,0.700,0.422
Artem Anisimov,CHI,29,20172018,31,0.520,16.79,0.431,0.249
Charles Hudon,MTL,23,20172018,30,0.560,14.03,0.417,0.186
Erik Haula,VGK,26,20172018,55,0.540,17.37,0.724,0.324
Pontus Aberg,EDM,23,20172018,16,0.470,12.17,0.302,0.105
Joonas Donskoi,SJS,25,20172018,32,0.580,14.90,0.485,0.215
Alexander Radulov,DAL,31,20172018,72,0.590,19.84,0.878,0.311
Andreas Athanasiou,DET,23,20172018,33,0.530,15.11,0.465,0.206
Casey Cizikas,NYI,26,20172018,17,0.360,13.20,0.266,0.119
A.J. Greer,COL,20,20172018,3,0.390,6.88,0.176,0.033
Chris Kreider,NYR,26,20172018,37,0.580,15.62,0.638,0.250
Josh Jooris,PIT,27,20172018,6,0.460,9.77,0.150,0.103
Teuvo Teravainen,CAR,23,20172018,64,0.640,16.89,0.780,0.220
Logan Shaw,MTL,24,20172018,14,0.410,10.88,0.194,0.120
Paul Carey,NYR,28,20172018,14,0.400,10.26,0.233,0.076
Nick Cousins,UTA,24,20172018,19,0.500,12.85,0.268,0.154
Filip Chlapik,OTT,20,20172018,4,0.510,10.07,0.200,0.085
Daniel Winnik,MIN,32,20172018,23,0.390,13.57,0.284,0.104
Anthony Mantha,DET,22,20172018,48,0.570,17.09,0.600,0.277
Brett Connolly,WSH,25,20172018,27,0.510,11.91,0.386,0.115
Taylor Leier,PHI,23,20172018,5,0.460,10.49,0.128,0.082
Riley Nash,BOS,28,20172018,41,0.470,15.41,0.539,0.188
Chris Wagner,NYI,26,20172018,16,0.390,13.28,0.203,0.136
Ryan Carpenter,VGK,26,20172018,15,0.480,12.60,0.288,0.149
Jimmy Hayes,NJD,27,20172018,9,0.500,11.93,0.273,0.130
Artturi Lehkonen,MTL,22,20172018,21,0.520,16.49,0.318,0.288
Chris Kunitz,TBL,37,20172018,29,0.490,11.95,0.354,0.101
Jason Chimera,ANA,38,20172018,13,0.420,10.30,0.176,0.087
Mark Scheifele,WPG,24,20172018,60,0.540,20.68,1.000,0.310
Sven Baertschi,VAN,24,20172018,29,0.520,15.61,0.547,0.202
Jonathan Drouin,MTL,22,20172018,46,0.580,17.60,0.597,0.178
Markus Granlund,VAN,24,20172018,12,0.440,16.26,0.226,0.184
Andre Burakovsky,WSH,22,20172018,25,0.550,13.76,0.446,0.162
Kyle Turris,NSH,28,20172018,51,0.580,16.61,0.671,0.196
Daniel Sedin,VAN,36,20172018,55,0.600,15.27,0.679,0.274
Matt Beleskey,NYR,29,20172018,0,0.500,10.97,0.000,0.123
Michael Grabner,NJD,29,20172018,36,0.410,14.82,0.450,0.282
Noel Acciari,BOS,25,20172018,11,0.440,12.91,0.183,0.129
Anders Lee,NYI,27,20172018,62,0.550,17.27,0.756,0.363
Filip Forsberg,NSH,23,20172018,64,0.580,17.47,0.955,0.316
Josh Anderson,CBJ,23,20172018,30,0.540,18.04,0.476,0.325
Dominic Moore,TOR,37,20172018,12,0.440,10.30,0.240,0.108
Mikkel Boedker,SJS,27,20172018,37,0.500,13.29,0.500,0.169
Tim Schaller,BOS,26,20172018,22,0.440,13.28,0.268,0.195
Vinnie Hinostroza,CHI,23,20172018,25,0.580,13.82,0.500,0.177
Nick Baptiste,BUF,22,20172018,6,0.460,9.97,0.182,0.110
Joel Eriksson Ek,MIN,20,20172018,16,0.440,12.78,0.213,0.133
Tyler Seguin,DAL,25,20172018,78,0.540,20.64,0.951,0.422
Derek MacKenzie,FLA,36,20172018,14,0.380,11.15,0.187,0.095
Mitch Marner,TOR,20,20172018,69,0.590,16.39,0.841,0.232
Brock Boeser,VAN,20,20172018,55,0.550,17.49,0.887,0.267
Jaden Schwartz,STL,25,20172018,59,0.610,19.26,0.952,0.313
Matt Duchene,OTT,26,20172018,59,0.530,18.32,0.720,0.273
Tomas Plekanec,TOR,34,20172018,26,0.460,15.14,0.338,0.148
Jaromir Jagr,CGY,45,20172018,7,0.560,13.05,0.318,0.135
Andrew Cogliano,ANA,30,20172018,35,0.460,15.20,0.438,0.226
Jake DeBrusk,BOS,20,20172018,43,0.580,14.37,0.614,0.211
Lukas Sedlak,CBJ,24,20172018,8,0.470,9.40,0.151,0.141
Pierre-Luc Dubois,CBJ,19,20172018,48,0.590,16.63,0.585,0.240
Johnny Gaudreau,CGY,24,20172018,84,0.610,19.42,1.050,0.269
Max Domi,UTA,22,20172018,45,0.550,16.71,0.549,0.224
Cory Conacher,TBL,27,20172018,12,0.530,9.99,0.333,0.135
Curtis Lazar,CGY,22,20172018,12,0.500,9.86,0.185,0.128
Zack Mitchell,MIN,24,20172018,5,0.330,10.54,0.217,0.097
James van Riemsdyk,TOR,28,20172018,54,0.620,14.89,0.667,0.435
Kevin Labanc,SJS,21,20172018,40,0.600,14.30,0.519,0.177
Josh Bailey,NYI,27,20172018,71,0.530,17.88,0.934,0.193
Drake Caggiula,EDM,23,20172018,20,0.490,13.55,0.299,0.190
Paul Stastny,WPG,31,20172018,53,0.560,18.30,0.646,0.264
Blake Wheeler,WPG,31,20172018,91,0.530,20.26,1.123,0.258
Matt Stajan,CGY,33,20172018,12,0.460,10.93,0.176,0.117
Jussi Jokinen,VAN,34,20172018,17,0.520,11.58,0.283,0.106
Kyle Clifford,LAK,26,20172018,10,0.520,10.49,0.200,0.146
Artemi Panarin,CBJ,25,20172018,82,0.610,20.13,1.012,0.278
Paul Byron,MTL,28,20172018,35,0.490,16.13,0.427,0.270
Justin Williams,CAR,35,20172018,51,0.600,16.59,0.622,0.244
Bo Horvat,VAN,22,20172018,44,0.520,19.35,0.688,0.307
Darren Archibald,VAN,27,20172018,9,0.370,14.86,0.333,0.111
Zack Smith,OTT,29,20172018,19,0.470,16.72,0.279,0.178
Ryan Getzlaf,ANA,32,20172018,61,0.560,21.43,1.089,0.189
Nino Niederreiter,MIN,25,20172018,32,0.580,15.00,0.508,0.278
Radek Faksa,DAL,23,20172018,33,0.460,15.08,0.418,0.154
Elias Lindholm,CAR,22,20172018,44,0.560,17.89,0.543,0.255
Luke Glendening,DET,28,20172018,19,0.360,13.01,0.275,0.152
Nikolay Goldobin,VAN,21,20172018,14,0.520,12.33,0.368,0.135
Michael Cammalleri,EDM,35,20172018,29,0.510,13.77,0.439,0.173
Nicklas Backstrom,WSH,29,20172018,71,0.560,19.56,0.877,0.211
Tomas Hertl,SJS,23,20172018,46,0.540,18.00,0.582,0.346
Torrey Mitchell,LAK,32,20172018,11,0.430,11.34,0.183,0.088
Zach Parise,MIN,33,20172018,24,0.510,17.08,0.571,0.319
Tomas Tatar,VGK,26,20172018,34,0.560,16.07,0.415,0.201
David Pastrnak,BOS,21,20172018,80,0.620,17.97,0.976,0.312
Alex Chiasson,WSH,26,20172018,18,0.410,11.76,0.295,0.146
Oskar Lindblom,PHI,21,20172018,6,0.560,14.59,0.261,0.188
Nico Hischier,NJD,18,20172018,52,0.530,16.31,0.634,0.260
Brendan Gaunce,VAN,23,20172018,6,0.420,13.31,0.162,0.137
Chris Tierney,SJS,23,20172018,40,0.480,15.95,0.488,0.220
Sebastian Aho,CAR,20,20172018,65,0.610,17.92,0.833,0.306
Dustin Brown,LAK,32,20172018,61,0.550,19.74,0.753,0.298
Dennis Rasmussen,ANA,27,20172018,4,0.410,8.91,0.148,0.061
Henrik Zetterberg,DET,36,20172018,56,0.560,19.29,0.683,0.179
Nic Petan,WPG,22,20172018,2,0.510,8.41,0.133,0.094
James Neal,VGK,30,20172018,44,0.560,17.17,0.620,0.272
Jesper Bratt,NJD,19,20172018,35,0.490,15.25,0.473,0.122
Iiro Pakarinen,EDM,26,20172018,3,0.440,10.19,0.075,0.106
Kevin Roy,ANA,24,20172018,7,0.460,13.65,0.280,0.128
Matt Hendricks,WPG,36,20172018,13,0.380,9.42,0.217,0.065
Anders Bjork,BOS,21,20172018,12,0.560,12.35,0.400,0.137
Nikita Scherbak,MTL,21,20172018,6,0.520,13.38,0.231,0.149
Ondrej Palat,TBL,26,20172018,35,0.530,17.00,0.625,0.259
Nick Bjugstad,FLA,25,20172018,49,0.560,14.97,0.598,0.272
Peter Holland,NYR,26,20172018,4,0.360,12.39,0.174,0.087
Mikael Backlund,CGY,28,20172018,45,0.540,19.02,0.549,0.254
Oscar Lindberg,VGK,25,20172018,11,0.480,11.78,0.175,0.120
Antoine Roussel,DAL,27,20172018,17,0.500,12.27,0.233,0.116
Thomas Vanek,CBJ,33,20172018,56,0.520,14.09,0.700,0.236
Mike Fisher,NSH,37,20172018,4,0.370,12.35,0.250,0.064
Alexander Steen,STL,33,20172018,46,0.560,18.60,0.605,0.242
Kyle Okposo,BUF,29,20172018,44,0.570,17.03,0.579,0.232
Sean Couturier,PHI,24,20172018,76,0.570,21.58,0.927,0.418
Zac Rinaldo,UTA,27,20172018,7,0.410,11.28,0.132,0.080
Lance Bouma,CHI,27,20172018,9,0.480,10.65,0.170,0.142
Scott Wilson,BUF,25,20172018,14,0.440,12.21,0.203,0.113
Joakim Nordstrom,CAR,25,20172018,7,0.450,10.57,0.093,0.112
Nikita Kucherov,TBL,24,20172018,100,0.600,19.82,1.250,0.330
Reid Boucher,VAN,24,20172018,5,0.540,11.38,0.250,0.194
Jacob Josefson,BUF,26,20172018,4,0.340,11.38,0.103,0.080
Mathew Barzal,NYI,20,20172018,85,0.600,17.77,1.037,0.220
Tobias Rieder,LAK,24,20172018,25,0.450,14.65,0.321,0.168
Andrew Copp,WPG,23,20172018,28,0.460,13.73,0.341,0.138
Ryan Callahan,TBL,32,20172018,18,0.480,13.32,0.269,0.165
Joel Armia,WPG,24,20172018,29,0.520,12.60,0.367,0.175
Matt Nieto,COL,24,20172018,26,0.390,14.70,0.351,0.151
Nic Dowd,VAN,27,20172018,4,0.430,10.54,0.071,0.108
Jack Roslovic,WPG,20,20172018,14,0.520,12.32,0.452,0.104
David Krejci,BOS,31,20172018,44,0.570,16.88,0.688,0.204
Alexander Wennberg,CBJ,22,20172018,35,0.570,18.13,0.530,0.154
Mikko Koivu,MIN,34,20172018,45,0.510,18.49,0.549,0.216
Mike Hoffman,OTT,27,20172018,56,0.550,18.41,0.683,0.240
Boo Nieves,NYR,23,20172018,9,0.440,10.20,0.321,0.069
Connor McDavid,EDM,20,20172018,108,0.560,21.55,1.317,0.443
Scottie Upshall,STL,33,20172018,19,0.430,10.85,0.302,0.095
Jordan Staal,CAR,29,20172018,46,0.560,19.25,0.582,0.298
Steven Stamkos,TBL,27,20172018,86,0.600,18.77,1.103,0.306
Matt Calvert,CBJ,27,20172018,24,0.450,13.38,0.348,0.172
Evander Kane,SJS,26,20172018,54,0.550,19.49,0.692,0.391
Michael Raffl,PHI,28,20172018,22,0.480,13.25,0.289,0.155
Jason Zucker,MIN,25,20172018,64,0.540,16.96,0.780,0.360
Jordan Martinook,UTA,25,20172018,15,0.440,14.01,0.185,0.147
Joel Ward,SJS,36,20172018,12,0.460,11.87,0.231,0.121
Anthony Beauvillier,NYI,20,20172018,36,0.490,14.53,0.507,0.209
Ryan Reaves,VGK,30,20172018,10,0.480,7.60,0.127,0.070
Vincent Trocheck,FLA,24,20172018,75,0.530,21.08,0.915,0.380
Ondrej Kase,ANA,21,20172018,38,0.560,13.92,0.576,0.214
Leon Draisaitl,EDM,21,20172018,70,0.570,19.32,0.897,0.259
Evgeny Kuznetsov,WSH,25,20172018,83,0.560,18.70,1.051,0.274
Austin Watson,NSH,25,20172018,19,0.400,12.33,0.250,0.143
Brandon Tanev,WPG,25,20172018,18,0.410,12.66,0.295,0.126
Dylan Strome,UTA,20,20172018,9,0.500,12.95,0.429,0.240
Nicholas Shore,CGY,24,20172018,19,0.490,14.17,0.297,0.145
Nick Bonino,NSH,29,20172018,25,0.440,15.64,0.352,0.143
Brian Gionta,BOS,38,20172018,7,0.580,13.07,0.350,0.170
Sven Andrighetto,COL,24,20172018,22,0.550,14.49,0.440,0.197
Gabriel Landeskog,COL,24,20172018,62,0.530,19.90,0.795,0.291
Jason Pominville,BUF,34,20172018,34,0.550,14.90,0.415,0.177
Joe Pavelski,SJS,33,20172018,66,0.590,19.17,0.805,0.305
Nikolaj Ehlers,WPG,21,20172018,60,0.580,16.08,0.732,0.269
Josh Archibald,UTA,24,20172018,11,0.440,11.95,0.262,0.087
Mathieu Perreault,WPG,29,20172018,39,0.620,14.46,0.557,0.279
Logan Couture,SJS,28,20172018,61,0.560,18.44,0.782,0.220
Antoine Vermette,ANA,35,20172018,16,0.470,13.75,0.250,0.164
Dale Weise,PHI,29,20172018,8,0.460,10.57,0.174,0.080
Brock McGinn,CAR,23,20172018,30,0.520,14.50,0.375,0.287
Troy Brouwer,CGY,32,20172018,22,0.480,13.93,0.289,0.114
Remi Elie,DAL,22,20172018,14,0.510,10.12,0.194,0.106
Colton Sissons,NSH,23,20172018,27,0.480,16.09,0.333,0.150
Clayton Keller,UTA,19,20172018,65,0.560,18.09,0.793,0.297
Frank Vatrano,FLA,23,20172018,10,0.560,10.84,0.244,0.145
Patrick Maroon,NJD,29,20172018,43,0.580,16.51,0.581,0.229
Johan Larsson,BUF,25,20172018,17,0.370,14.11,0.213,0.102
Brandon Sutter,VAN,28,20172018,26,0.380,17.32,0.426,0.152
Cedric Paquette,TBL,24,20172018,9,0.470,10.20,0.161,0.106
Andrew Shaw,MTL,26,20172018,20,0.550,17.22,0.392,0.258
Miikka Salomaki,NSH,24,20172018,8,0.500,10.28,0.138,0.076
Alex Ovechkin,WSH,31,20172018,87,0.590,20.02,1.061,0.457
Joshua Ho-Sang,NYI,21,20172018,12,0.520,14.28,0.545,0.078
Ryan Hartman,NSH,22,20172018,31,0.540,13.06,0.397,0.187
Ryan O'Reilly,BUF,26,20172018,61,0.550,20.82,0.753,0.304
Alex Killorn,TBL,28,20172018,47,0.570,16.50,0.573,0.198
Freddy Gaudreau,NSH,24,20172018,3,0.460,9.16,0.150,0.057
Greg McKegg,PIT,25,20172018,4,0.450,9.68,0.154,0.073
Ryan Johansen,NSH,25,20172018,54,0.570,18.55,0.684,0.208
Markus Hannikainen,CBJ,24,20172018,6,0.430,8.37,0.182,0.071
Joe Thornton,SJS,38,20172018,36,0.610,18.35,0.766,0.199
Jack Eichel,BUF,20,20172018,64,0.570,20.14,0.955,0.295
Pierre-Edouard Bellemare,VGK,32,20172018,16,0.450,12.33,0.222,0.113
Valtteri Filppula,PHI,33,20172018,33,0.450,16.48,0.407,0.148
Josh Leivo,TOR,24,20172018,4,0.560,10.57,0.250,0.139
Carl Hagelin,PIT,29,20172018,31,0.480,15.94,0.383,0.164
Viktor Arvidsson,NSH,24,20172018,61,0.540,17.75,0.782,0.339
Nick Ritchie,ANA,21,20172018,27,0.500,13.18,0.355,0.225
Freddie Hamilton,UTA,25,20172018,1,0.480,8.98,0.063,0.045
Phillip Di Giuseppe,CAR,23,20172018,13,0.550,10.50,0.265,0.083
Martin Frk,DET,23,20172018,25,0.590,10.14,0.368,0.143
Jordan Eberle,NYI,27,20172018,59,0.570,16.07,0.728,0.267
Nate Thompson,LAK,32,20172018,17,0.370,12.72,0.246,0.084
Craig Smith,NSH,28,20172018,51,0.610,15.38,0.646,0.325
Pavel Zacha,NJD,20,20172018,25,0.500,14.37,0.362,0.169
Alex DeBrincat,CHI,19,20172018,52,0.580,14.80,0.634,0.238
Kasperi Kapanen,TOR,21,20172018,9,0.480,11.25,0.237,0.149
Magnus Paajarvi,OTT,26,20172018,12,0.430,12.45,0.152,0.142
Nikita Soshnikov,STL,23,20172018,2,0.380,10.79,0.133,0.069
Evgeni Malkin,PIT,31,20172018,98,0.590,18.99,1.256,0.403
Brendan Gallagher,MTL,25,20172018,54,0.590,16.16,0.659,0.438
Christopher DiDomenico,OTT,28,20172018,10,0.520,11.79,0.417,0.117
Auston Matthews,TOR,19,20172018,63,0.550,18.13,1.016,0.368
Luke Kunin,MIN,19,20172018,4,0.460,12.98,0.211,0.133
Jamie Benn,DAL,28,20172018,79,0.550,19.55,0.963,0.359
Anze Kopitar,LAK,30,20172018,92,0.540,21.98,1.122,0.266
Alexander Kerfoot,COL,23,20172018,43,0.550,13.32,0.544,0.130
Ryan Kesler,ANA,33,20172018,14,0.450,18.03,0.318,0.240
Derek Ryan,CAR,30,20172018,38,0.610,15.61,0.475,0.230
Wayne Simmonds,PHI,29,20172018,46,0.550,18.09,0.613,0.351
Sam Reinhart,BUF,21,20172018,50,0.600,17.10,0.610,0.299
Melker Karlsson,SJS,27,20172018,19,0.420,13.25,0.268,0.136
Charlie Coyle,MIN,25,20172018,37,0.460,16.53,0.561,0.206
Dylan Larkin,DET,21,20172018,63,0.510,19.65,0.768,0.259
Rickard Rakell,ANA,24,20172018,69,0.560,19.42,0.896,0.313
Cam Atkinson,CBJ,28,20172018,46,0.550,18.90,0.708,0.420
Mika Zibanejad,NYR,24,20172018,47,0.560,17.97,0.653,0.293
Ryan Strome,EDM,24,20172018,34,0.540,15.22,0.415,0.180
Brayden Point,TBL,21,20172018,66,0.520,19.62,0.805,0.360
Tyler Toffoli,LAK,25,20172018,47,0.550,16.07,0.573,0.312
Eric Fehr,SJS,32,20172018,4,0.460,11.58,0.222,0.180
Denis Malgin,FLA,20,20172018,22,0.540,13.51,0.431,0.161
Carter Rowney,PIT,28,20172018,5,0.370,9.35,0.114,0.042
Darren Helm,DET,30,20172018,31,0.420,15.37,0.413,0.149
Brendan Perlini,UTA,21,20172018,30,0.520,14.51,0.405,0.187
Scott Laughton,PHI,23,20172018,20,0.470,11.12,0.247,0.139
Anton Slepyshev,EDM,23,20172018,12,0.520,11.81,0.240,0.169
Marcus Kruger,CAR,27,20172018,6,0.490,10.84,0.125,0.063
Connor Brickley,FLA,25,20172018,12,0.440,11.89,0.273,0.130
Ryan Spooner,NYR,25,20172018,41,0.550,15.29,0.695,0.141
Tyler Ennis,MIN,27,20172018,22,0.490,11.97,0.301,0.137
Marko Dano,WPG,22,20172018,3,0.510,7.19,0.130,0.101
Jamie McGinn,FLA,29,20172018,29,0.520,13.29,0.382,0.179
Kevin Hayes,NYR,25,20172018,44,0.440,17.35,0.579,0.239
Evgenii Dadonov,FLA,28,20172018,65,0.600,18.47,0.878,0.310
Jonathan Toews,CHI,29,20172018,52,0.580,19.69,0.703,0.316
Danny O'Regan,BUF,23,20172018,4,0.450,9.97,0.190,0.062
Kyle Connor,WPG,20,20172018,57,0.550,16.91,0.750,0.315
Ryan Nugent-Hopkins,EDM,24,20172018,48,0.520,18.09,0.774,0.315
Chandler Stephenson,WSH,23,20172018,18,0.400,11.87,0.269,0.068
Tyler Johnson,TBL,27,20172018,50,0.510,16.99,0.617,0.270
Marcus Johansson,NJD,26,20172018,14,0.540,15.99,0.483,0.133
Jimmy Vesey,NYR,24,20172018,28,0.490,14.33,0.354,0.215
Tyler Bozak,TOR,31,20172018,43,0.590,15.63,0.531,0.244
Gustav Nyquist,DET,28,20172018,40,0.560,17.66,0.488,0.274
Matthew Tkachuk,CGY,19,20172018,49,0.630,17.25,0.721,0.336
Michael Amadio,LAK,21,20172018,8,0.520,9.20,0.216,0.070
J.T. Miller,TBL,24,20172018,58,0.530,17.02,0.707,0.257
Taylor Hall,NJD,25,20172018,93,0.570,19.12,1.224,0.397
Alex Iafallo,LAK,23,20172018,25,0.530,15.05,0.333,0.174
Max McCormick,OTT,25,20172018,5,0.450,8.35,0.167,0.062
Blake Coleman,NJD,25,20172018,25,0.430,14.40,0.316,0.216
Blake Comeau,COL,31,20172018,34,0.400,15.67,0.430,0.127
Justin Abdelkader,DET,30,20172018,35,0.520,16.37,0.467,0.206
Scott Hartnell,NSH,35,20172018,24,0.540,12.02,0.387,0.137
JT Brown,ANA,27,20172018,7,0.500,9.07,0.149,0.080
Claude Giroux,PHI,29,20172018,102,0.600,20.36,1.244,0.266
Brad Richardson,UTA,32,20172018,15,0.420,14.77,0.197,0.159
Brett Ritchie,DAL,24,20172018,14,0.610,10.65,0.197,0.161
Jason Dickinson,DAL,22,20172018,2,0.500,8.53,0.074,0.038
Dominic Toninato,COL,23,20172018,2,0.470,7.90,0.054,0.075
Dominik Simon,PIT,23,20172018,12,0.550,11.42,0.364,0.130
Anthony Duclair,CHI,22,20172018,23,0.560,13.28,0.411,0.182
Jonathan Huberdeau,FLA,24,20172018,69,0.580,18.97,0.841,0.289
Jori Lehtera,PHI,29,20172018,8,0.470,10.51,0.129,0.071
Mats Zuccarello,NYR,30,20172018,53,0.510,18.92,0.663,0.197
David Booth,DET,32,20172018,5,0.400,6.97,0.179,0.086
Sean Kuraly,BOS,24,20172018,14,0.470,12.25,0.187,0.167
John Hayden,CHI,22,20172018,13,0.450,10.82,0.277,0.108
Travis Zajac,NJD,32,20172018,26,0.470,17.88,0.413,0.175
Nick Schmaltz,CHI,21,20172018,52,0.530,18.23,0.667,0.196
Lawson Crouse,UTA,21,20182019,25,0.430,12.97,0.309,0.156
Trent Frederic,BOS,20,20182019,0,0.490,9.35,0.000,0.094
Auston Matthews,TOR,20,20182019,73,0.590,18.55,1.074,0.449
Troy Brouwer,FLA,33,20182019,21,0.440,12.68,0.280,0.112
Frans Nielsen,DET,34,20182019,35,0.470,16.66,0.486,0.126
Andrew Shaw,MTL,27,20182019,47,0.550,15.91,0.746,0.290
Jordan Weal,MTL,26,20182019,21,0.560,13.44,0.333,0.119
Micheal Haley,SJS,32,20182019,6,0.490,8.09,0.140,0.117
Brett Ritchie,DAL,25,20182019,6,0.470,9.61,0.113,0.089
Leo Komarov,NYI,31,20182019,26,0.400,13.87,0.317,0.117
Kevin Fiala,MIN,22,20182019,39,0.570,15.62,0.470,0.229
Dmitrij Jaskin,WSH,25,20182019,8,0.510,10.09,0.216,0.135
Nick Cousins,UTA,25,20182019,27,0.520,13.57,0.333,0.166
Johan Larsson,BUF,26,20182019,14,0.430,14.28,0.192,0.121
Artturi Lehkonen,MTL,23,20182019,31,0.480,15.55,0.378,0.222
Sidney Crosby,PIT,31,20182019,100,0.570,20.99,1.266,0.399
Andrew Mangiapane,CGY,22,20182019,13,0.550,10.51,0.295,0.156
Valeri Nichushkin,DAL,23,20182019,10,0.490,11.90,0.175,0.097
Justin Williams,CAR,36,20182019,53,0.630,17.43,0.646,0.353
Mattias Janmark,DAL,25,20182019,25,0.460,15.19,0.309,0.147
Andrei Svechnikov,CAR,18,20182019,37,0.600,14.66,0.451,0.295
John Tavares,TOR,27,20182019,88,0.580,19.06,1.073,0.476
Pierre-Edouard Bellemare,VGK,33,20182019,15,0.470,12.43,0.197,0.162
Michael Amadio,LAK,22,20182019,13,0.530,10.19,0.302,0.099
Patrik Berglund,BUF,30,20182019,4,0.460,12.98,0.174,0.140
Chris Wagner,BOS,27,20182019,19,0.460,13.46,0.250,0.202
Alexander Steen,STL,34,20182019,27,0.500,15.82,0.415,0.160
Robert Thomas,STL,19,20182019,33,0.550,13.03,0.471,0.134
Sam Reinhart,BUF,22,20182019,65,0.580,18.93,0.793,0.283
Frank Vatrano,FLA,24,20182019,39,0.540,14.63,0.481,0.257
Nick Ritchie,ANA,22,20182019,31,0.520,15.00,0.517,0.186
Ryan Dzingel,CBJ,26,20182019,56,0.480,16.82,0.718,0.216
Dominik Simon,PIT,24,20182019,28,0.570,13.32,0.394,0.157
John Hayden,CHI,23,20182019,5,0.470,9.16,0.093,0.081
Tyler Pitlick,DAL,26,20182019,12,0.470,13.37,0.255,0.128
Sam Bennett,CGY,22,20182019,27,0.560,13.25,0.380,0.229
Joseph Gambardella,EDM,24,20182019,3,0.380,8.10,0.200,0.047
Juho Lammikko,FLA,22,20182019,6,0.430,10.90,0.150,0.083
Mitch Marner,TOR,21,20182019,94,0.560,19.80,1.146,0.274
Brayden Schenn,STL,27,20182019,54,0.560,18.47,0.750,0.353
Brendan Perlini,CHI,22,20182019,21,0.500,11.60,0.309,0.172
Oskar Sundqvist,STL,24,20182019,31,0.480,13.74,0.419,0.204
Gemel Smith,BOS,24,20182019,3,0.360,8.37,0.176,0.064
Bryan Rust,PIT,26,20182019,35,0.460,15.91,0.486,0.238
Leon Draisaitl,EDM,22,20182019,105,0.540,22.58,1.280,0.371
Dylan Sikura,CHI,23,20182019,8,0.550,11.28,0.242,0.100
Nate Thompson,MTL,33,20182019,13,0.410,12.96,0.167,0.090
Gustav Nyquist,SJS,29,20182019,60,0.570,17.52,0.741,0.235
Milan Lucic,EDM,30,20182019,20,0.550,13.21,0.253,0.127
Jesper Bratt,NJD,20,20182019,33,0.520,15.17,0.647,0.136
Alexander Radulov,DAL,32,20182019,72,0.570,19.77,1.029,0.331
Vinnie Hinostroza,UTA,24,20182019,39,0.530,15.23,0.542,0.236
Mario Kempe,UTA,29,20182019,9,0.450,11.18,0.173,0.096
Evgeni Malkin,PIT,32,20182019,72,0.560,18.79,1.059,0.317
Boone Jenner,CBJ,25,20182019,38,0.480,17.05,0.494,0.225
Jason Dickinson,DAL,23,20182019,22,0.440,13.36,0.328,0.149
Brett Connolly,WSH,26,20182019,46,0.520,13.33,0.568,0.188
Patrick Marleau,TOR,39,20182019,37,0.540,16.35,0.451,0.242
Alexander Kerfoot,COL,24,20182019,42,0.560,14.88,0.538,0.188
Adam Lowry,WPG,25,20182019,23,0.440,14.65,0.295,0.166
Devante Smith-Pelly,WSH,26,20182019,8,0.410,10.85,0.148,0.153
Ty Rattie,EDM,25,20182019,11,0.510,11.37,0.220,0.210
Roope Hintz,DAL,21,20182019,22,0.530,14.05,0.379,0.203
Brendan Leipsic,LAK,24,20182019,23,0.500,13.81,0.371,0.125
Colton Sceviour,FLA,29,20182019,15,0.430,12.30,0.254,0.169
Oscar Lindberg,OTT,26,20182019,20,0.540,12.47,0.364,0.168
Tom Kuhnhackl,NYI,26,20182019,9,0.410,12.68,0.250,0.099
Carter Rowney,ANA,29,20182019,20,0.430,12.54,0.323,0.115
Dylan Larkin,DET,22,20182019,73,0.550,21.82,0.961,0.398
Pavel Zacha,NJD,21,20182019,25,0.470,16.11,0.410,0.171
Lars Eller,WSH,29,20182019,36,0.480,16.53,0.444,0.214
Ryan Spooner,VAN,26,20182019,9,0.500,11.41,0.173,0.111
Anthony Mantha,DET,23,20182019,48,0.590,17.81,0.716,0.287
Charles Hudon,MTL,24,20182019,5,0.530,11.68,0.156,0.161
Tomas Hertl,SJS,24,20182019,74,0.570,19.01,0.961,0.355
Cedric Paquette,TBL,25,20182019,17,0.400,11.97,0.213,0.140
Anze Kopitar,LAK,31,20182019,60,0.490,22.22,0.741,0.240
Victor Rask,MIN,25,20182019,9,0.530,12.10,0.184,0.090
Bryan Little,WPG,30,20182019,41,0.470,15.82,0.500,0.149
Johnny Gaudreau,CGY,25,20182019,99,0.600,20.10,1.207,0.334
Cody McLeod,NSH,34,20182019,1,0.400,6.49,0.026,0.062
Nick Schmaltz,UTA,22,20182019,25,0.550,17.83,0.625,0.205
Zack Kassian,EDM,27,20182019,26,0.460,14.78,0.329,0.185
